Latitude,Longitude,﻿Site Name,Site Status,Site Address1,Site Address2,Site City,Site State,Site Zip,Site Phone,"Meal Types Served:
","Start Date
(MM/DD/YY)","End Date
(MM/DD/YY)"
35.572463,-97.957858,DARLINGTON PUBLIC SCHOOL(105),Open,4408 N. HWY 81,,EL RENO,OK,73036,405-262-0137,B L,6/5/2017,6/30/2017
35.4884755,-97.7291185,YUKON HS(705),Open,1777 YUKON PARKWAY,,YUKON,OK,73099,405-354-7116,B L,6/5/2017,7/28/2017
35.517849,-97.959186,HILLCREST ES(110),Open,1302 S. MILES,,EL RENO,OK,73036,405-262-1789,L,6/5/2017,7/27/2017
35.50777,-97.958944,LESLIE F ROBLYER LEARNING CTR(510),Open,427 SW 27TH,,EL RENO,OK,73036,405-262-4287,B L,5/30/2017,7/27/2017
35.533234,-97.951358,United Methodist Church(N01),Open,101 S. BARKER,,EL RENO,OK,73036,405-262-3734,B L,6/5/2017,7/27/2017
35.5354825,-97.9836592,Adams Park(N2),Open,201 PARK DRIVE,,EL RENO,OK,73036,405-262-4289,L,6/5/2017,7/27/2017
35.53319,-97.955031,Frank Night Park(N3),Open,101 N CHOCTAW,,EL RENO,OK,73036,405-262-1789,L,6/5/2017,7/27/2017
35.532865,-97.954121,Legion Park(N4),Open,100 S. BICKFORD,,EL RENO,OK,73036,405-262-4287,L,6/5/2017,7/27/2017
35.53701388,-97.95715796,Booker T Washington Park(N5),Open,520 N. ADMIRE,,EL RENO,OK,73036,405-262-4287,L,6/5/2017,7/27/2017
34.196304,-97.134215,CHARLES EVANS ES(110),Open,1906 HARRIS ST,,ARDMORE,OK,73401,580-221-3001,B L,6/5/2017,6/30/2017
34.165707,-97.125152,JEFFERSON ES(120),Open,333 CARTER SE,,ARDMORE,OK,73401,580-221-3001,B,6/5/2017,6/29/2017
34.20287,-97.13133,ARDMORE HS(705),Open,701 VETERANS BLVD.,,ARDMORE,OK,73401,580-221-3008,B L,6/5/2017,6/29/2017
35.85000664,-95.00143989,SEQUOYAH HIGH SCHOOL(510),Open,17091 SOUTH MUSKOGEE,,TAHLEQUAH,OK,74464,918-453-5190,B L,5/22/2017,7/7/2017
35.922404,-94.872934,BRIGGS PUBLIC SCHOOL(105),Open,17210 S 569 RD,,TAHLEQUAH,OK,74464,918-456-4221,B L,6/5/2017,6/30/2017
35.93232,-95.14503,HULBERT ES(105),Open,316 RIDER LANE,,HULBERT,OK,74441,918-772-2501,B,5/22/2017,6/8/2017
35.93232,-95.14503,HULBERT JR-SR HS (JR)(615),Open,316 RIDER LANE,,HULBERT,OK,74441,918-772-2501,B,5/22/2017,6/8/2017
34.0155452,-95.2063462,SWINK PUBLIC SCHOOL(105),Open,500 JOURDAN STREET,,SWINK,OK,74761,580-873-9493,B L,6/5/2017,7/28/2017
34.0207604,-95.2719177,FORT TOWSON HS(705),Continuous School Calendar,205 NW 3RD STREET,,FORT TOWSON,OK,74735,580-873-2712,B L,5/15/2017,6/22/2017
33.9971319,-95.4972035,HUGO ES(135),Open,1100 DAVID ROEBUCK LANE,,HUGO,OK,74743,580-326-2102,B L,5/30/2017,7/28/2017
34.014459,-95.511428,HUGO HS(705),Open,201 EAST BROWN,,HUGO,OK,74743,580-326-7949,B L,6/5/2017,6/9/2017
34.011732,-95.494963,Choctaw County Recreation Center(N2),Open,1503 E. KIRK,,HUGO,OK,74743,580-326-0005,B,5/30/2017,7/28/2017
36.9028391,-102.9655612,BLACK MESA BIBLE CAMP(N01),Open,1/2 MILE E KENTON,,KENTON,OK,73946,575-374-8604,B L S,7/2/2017,7/22/2017
35.340569,-97.487086,CENTRAL ES(103),Open,123 NW 2ND,,MOORE,OK,73160,405-735-4147,B L,6/5/2017,7/21/2017
35.377223,-97.555124,FAIRVIEW ES(107),Open,2431 SW 89TH,,"OKC, OK",OK,73159,405-735-4171,B L,6/5/2017,6/30/2017
35.325683,-97.506267,PLAZA TOWERS ES(112),Open,852 SW 11TH,,MOORE,OK,73160,405-735-4431,B L,6/5/2017,6/30/2017
35.342596,-97.512041,SANTA FE ES(130),Open,501 N. SANTA FE,,MOORE,OK,73160,405-735-4451,B L,6/5/2017,6/30/2017
35.34207,-97.486629,CENTRAL JHS(685),Open,400 N. BROADWAY,,MOORE,OK,73160,405-735-4576,B L,6/5/2017,7/21/2017
35.340945,-97.47676,MOORE HS(705),Open,300 N EASTERN,,MOORE,OK,73160,405-735-4727,B L,6/5/2017,6/30/2017
35.331811,-97.48654,Central Park(N01),Open,700 S. BROADWAY,,MOORE,OK,73160,405-735-4576,L,6/5/2017,7/21/2017
35.33737,-97.51835,Parmele Splash Park(N2),Open,12TH AND JANEWAY,,MOORE,OK,73160,405-735-4576,L,6/5/2017,7/21/2017
35.210384,-97.418337,KENNEDY ES(122),Open,621 SUNRISE,,NORMAN,OK,73071,405-366-5894,L,6/5/2017,7/28/2017
35.22766,-97.444571,WILSON ES(145),Open,800 N PETERS,,NORMAN,OK,73069,405-366-5935,L,6/5/2017,7/28/2017
35.198293,-97.404625,RONALD REAGAN ES(151),Open,1601 24TH AVE SE,,NORMAN,OK,73071,405-366-5994,B L,6/5/2017,7/20/2017
35.225156,-97.438178,LONGFELLOW MS(502),Open,215 N PONCA,,NORMAN,OK,73071,405-366-5913,B L,6/5/2017,7/31/2017
35.22288384,-97.4470296,Andrews Park(N01),Open,201 W DAWS,,NORMAN,OK,73069,405-366-5908,L,6/5/2017,7/28/2017
35.18882237,-97.44124602,Reaves Park(N02),Open,2501 S JENKINS AVE,,NORMAN,OK,73072,405-366-5908,L,6/5/2017,7/28/2017
35.240736,-97.461484,YMCA(N05),Open,1350 LEXINGTON ST,,NORMAN,OK,73069,405-364-9266,L,5/30/2017,8/11/2017
34.533845,-96.219473,EMERSON ES(105),Open,309 S WEST RAILROAD,,COALGATE,OK,74538,580-927-2351,B L,5/30/2017,6/30/2017
34.576241,-98.417788,BISHOP PUBLIC SCHOOL(105),Open,2204 SW BISHOP ROAD,,LAWTON,OK,73505,580-353-4870,B L,5/8/2017,6/2/2017
34.62355,-98.6241851,CACHE HS(705),Open,102 W H AVE,,CACHE,OK,73527,580-429-1113,B L,6/5/2017,6/16/2017
34.618851,-98.75399,INDIAHOMA ES(105),Open,307 CHEBAHTAH,,INDIAHOMA,OK,73552,580-246-3307,L,6/5/2017,6/29/2017
34.48395735,-98.38737612,GERONIMO ES(105),Open,225 IOWA,,GERONIMO,OK,73543,580-353-0882,B L,5/22/2017,6/15/2017
34.617228,-98.435378,ADAMS ES(105),Open,3501 NW FERRIS,,LAWTON,OK,73505,580-353-7983,L,6/5/2017,6/29/2017
34.605801,-98.347134,CARRIAGE HILLS ES(108),Open,215 SE WARWICK WAY,,LAWTON,OK,73507,580-248-6161,L,6/5/2017,6/29/2017
34.613142,-98.464317,EDISON ES(122),Open,5801 NW COLUMBIA,,LAWTON,OK,73505,580-596-4233,L,6/5/2017,7/21/2017
34.66583,-98.389921,FREEDOM ES(127),Open,5720 GERONIMO RD.,,FORT SILL,OK,73503,580-713-0060,L,6/5/2017,7/21/2017
34.6292,-98.45056,RIDGECREST ES(140),Open,1614 NW 47TH,,LAWTON,OK,73505,580-355-1150,L,6/5/2017,7/21/2017
34.59685,-98.39739,LINCOLN ES(165),Open,601 SW PARK,,LAWTON,OK,73501,580-355-4799,L,6/5/2017,6/29/2017
34.633562,-98.410859,PAT HENRY ES(168),Open,1401 NW BESSIE,,LAWTON,OK,73505,580-355-2617,L,6/5/2017,7/21/2017
34.63859,-98.38034,PIONEER PARK ES(173),Open,3005 NE ANGUS,,LAWTON,OK,73507,580-215-0255,B L,6/5/2017,6/22/2017
34.613165,-98.400813,WASHINGTON ES(195),Closed Enrolled,805 NW COLUMBIA,,LAWTON,OK,73507,580-353-6299,L,6/5/2017,6/29/2017
34.60300955,-98.33478091,MACARTHUR MS(530),Closed Enrolled,510 SE 45TH,,LAWTON,OK,73507,580-355-1150,B L,6/5/2017,6/22/2017
34.62134,-98.40248,CENTRAL MS(535),Closed Enrolled,1201 NW FT. SILL,,LAWTON,OK,73505,000-000-0000,B L,6/5/2017,6/22/2017
34.61544,-98.40458,LAWTON HS(710),Open,601 NW FT. SILL BLVD,,LAWTON,OK,73505,580-215-0255,L,6/5/2017,7/28/2017
34.60868,-98.33225,MACARTHUR HS(715),Open,4500 E GORE,,LAWTON,OK,73507,580-355-1150,B L,6/5/2017,6/22/2017
34.61588,-98.43979,Kid Zone Park(N02),Open,711 NW 38TH,,LAWTON,OK,73505,580-357-3795,L,6/5/2017,7/21/2017
34.60801,-98.39561,YMCA(N03),Open,5 SW 5TH STREET,,LAWTON,OK,73501,580-355-1150,B L,6/5/2017,7/28/2017
34.609538,-98.385021,Douglass(N13),Open,102 E. GORE,,LAWTON,OK,73501,580-355-1150,B L,6/5/2017,6/30/2017
34.61608,-98.39521,Elmer Thomas Park(N15),Open,501 FERRIS,,LAWTON,OK,73505,580-355-1150,L,6/5/2017,7/21/2017
34.609935,-98.38763,Patterson Center(N18),Open,4 NE ARLINGTON,,LAWTON,OK,73507,580-581-3485,L,7/10/2017,7/14/2017
34.591963,-98.404821,Owens Multi Purpose Center(N23),Open,1405  SW 11TH,,LAWTON,OK,73501,580-581-3483,B L,6/7/2017,7/21/2017
34.62667,-98.42048,HC King(N26),Open,1705 NW 20,,LAWTON,OK,73507,580-355-1150,L,6/5/2017,7/21/2017
34.619708,-98.416961,Mobile Bus Site Liberty Lake Park(N29),Open,1806 NW LIBERTY LAKE,,LAWTON,OK,73507,580-355-1150,L,6/5/2017,7/21/2017
34.5847794,-98.4114808,Friendship Baptist Church(N32),Open,14210 NEW YORK,,LAWTON,OK,73501,580-574-8688,L,6/5/2017,7/21/2017
34.6811189,-98.4031677,Ft. Sill Spray Pad(N33),Open,FT. SILL BLVD AND KING RD,,FORT SILL,OK,73503,580-442-4697,L,6/15/2017,7/21/2017
34.6811189,-98.4031677,Ft. Sill Outdoor Pool(N34),Open,501 QUINETTE RD.,,FORT SILL,OK,73503,580-442-6745,L,6/15/2017,7/21/2017
34.675932,-98.4032534,Ft. Sill Youth Center(N35),Open,1010 FT. SILL BLVE.,,FORT SILL,OK,73503,580-442-6745,L,6/15/2017,7/28/2017
34.8231,-98.24009041,FLETCHER ES(105),Open,202 WEST COLE AVENUE,,FLETCHER,OK,73541,580-549-3019,L,6/5/2017,6/29/2017
34.60173714,-98.40775857,Lawton Salvation Army(N01),Closed Enrolled,1315 SW F AVENUE,,LAWTON,OK,73501,580-357-7541,B L,5/30/2017,7/31/2017
34.631341,-98.429776,SOTE Outreach(N01),Open,2209 NW 25 STREET,,LAWTON,OK,73505,580-248-3170,B L,5/22/2017,8/4/2017
34.608791,-98.433762,Cameron University(N01),Residential Camp,2800 W. GORE,,LAWTON,OK,73505,580-581-5581,B L S,5/22/2017,6/23/2017
34.26176394,-98.23517,TEMPLE HS(715),Open,206 SCHOOL ROAD,,TEMPLE,OK,73568,580-342-6839,L,5/30/2017,6/30/2017
36.068621,-96.087124,ALLEN-BOWDEN PUBLIC SCHOOL(105),Open,7049 FRANKOMA ROAD,,TULSA,OK,74131,918-227-1806,B L,5/15/2017,6/8/2017
35.835899,-96.391278,EDISON ES(110),Open,111 W. 9TH,,BRISTOW,OK,74010,918-367-3524,B L,5/22/2017,8/4/2017
35.831016,-96.402038,Bristow Park(N01),Open,700 W. 5TH,,BRISTOW,OK,74010,918-367-3524,B L,6/12/2017,6/30/2017
35.8236611,-96.3899947,Cape Drive(N02),Open,1110 S. CHESTNUT,,BRISTOW,OK,74010,918-367-3524,B L,5/22/2017,8/4/2017
35.823598,-96.382095,Bristow Village(N3),Open,703 S. MUTTELOKE DRIVE,,BRISTOW,OK,74010,918-367-3524,B L,5/22/2017,8/4/2017
35.999439,-96.095302,HOLMES PARK ES(165),Open,1231 E. DEWEY,,SAPULPA,OK,74066,918-227-6800,B L,5/22/2017,7/28/2017
35.998912,-96.098728,SAPULPA HS(705),Open,3 S. MISSION,,SAPULPA,OK,74066,918-224-6560,B L,6/5/2017,6/30/2017
35.50756,-98.984138,SOUTHWEST ES(115),Open,1903 OPAL STREET,,CLINTON,OK,73601,580-323-1800,B L,6/5/2017,7/28/2017
35.534702,-98.707761,Southwestern Oklahoma State University(N01),Residential Camp,100 CAMPUS DRIVE,,WEATHERFORD,OK,73096,580-774-7129,B L S,6/5/2017,7/13/2017
36.205936,-94.94106,LEACH PUBLIC SCHOOL(105),Open,55979 S 530 RD,,ROSE,OK,74364,918-868-2277,L,5/22/2017,6/16/2017
36.312789,-94.986317,KENWOOD PUBLIC SCHOOL(105),Open,48625 S 502 RD,,SALINA,OK,74365,918-434-6498,L,5/30/2017,7/21/2017
36.387252,-94.816933,JAY UPPER ES(305),Open,10550 CR 433,,JAY,OK,74346,918-253-4413,B L,5/8/2017,7/28/2017
36.26107918,-94.69406,COLCORD ES(105),Open,400 S. SPENCER,,COLCORD,OK,74338,918-326-4006,B L,5/30/2017,7/28/2017
36.26210776,-94.69356204,COLCORD HS(715),Open,158 EAST POTTER STREET,,COLCORD,OK,74338,918-326-4006,B L,5/30/2017,7/28/2017
36.271091,-99.883907,SHATTUCK HS(705),Open,602 SOUTH HICKORY,,SHATTUCK,OK,73858,580-938-2586,B L,5/30/2017,6/29/2017
36.400726,-97.869444,GARFIELD ES(130),Open,400 N. 7TH ST,,ENID,OK,73701,580-366-7790,B L,6/5/2017,6/30/2017
36.41923,-97.88324,MONROE ES(165),Open,400 W. COTTONWOOD,,ENID,OK,73701,580-366-7500,B L,6/5/2017,6/30/2017
36.388662,-97.885399,ENID HS(705),Open,611 W. WABASH,,ENID,OK,73701,580-366-8390,B L,6/5/2017,6/30/2017
36.38802542,-97.87181167,First Church of God in Christ(N01),Open,477 EAST YORK STREET,,ENID,OK,73701,405-819-1479,L,6/5/2017,8/11/2017
36.37921,-97.87416,Forgotten Ministries(N2),Open,1714 S. 4TH STREET,,ENID,OK,73701,580-548-3182,L,7/14/2017,7/28/2017
34.82843,-97.26147,PAOLI ES(105),Open,107 DULIN DRIVE,,PAOLI,OK,73074,405-484-7336,B L,6/5/2017,7/28/2017
34.8279099,-97.2687775,PAOLI HS(705),Open,413 W. STEWART,,PAOLI,OK,73074,405-484-7336,B L,6/5/2017,7/28/2017
35.31128694,-97.94985245,MINCO ES(105),Open,311 SW 6TH,,MINCO,OK,73059,405-352-4377,L,5/30/2017,7/28/2017
34.91672694,-97.77754,ALEX ES(105),Open,209 S 2ND STREET,,ALEX,OK,73002,405-785-2605,B L,5/22/2017,7/28/2017
34.873709,-99.50755,Mangum First United Methodist Church(N01),Open,301 W. JEFFERSON,,MANGUM,OK,73554,580-782-2371,B L,6/5/2017,7/27/2017
35.1177792,-95.2404803,KINTA ES(105),Open,205 NORTH MAIN,,KINTA,OK,74552,918-768-3338,B L,5/22/2017,6/30/2017
35.1177792,-95.2404803,KINTA HS(705),Open,205 W. MAIN,,KINTA,OK,74552,918-768-3338,B L,5/22/2017,6/30/2017
35.254956,-95.120349,STIGLER ES(105),Open,302 NE 5TH STREET,,STIGLER,OK,74462,918-967-8271,B L,5/23/2017,6/29/2017
35.078864,-96.407983,ETHEL REED ES(120),Open,615 S BROADWAY,,HOLDENVILLE,OK,74848,405-379-3387,B L,5/8/2017,6/5/2017
35.07945,-96.39839,Big 5 Headstart(N01),Closed Enrolled,500 E MAIN ST,,HOLDENVILLE,OK,74848,405-379-3387,B L,5/8/2017,6/29/2017
35.08244327,-96.39143796,Bullitt & 11th St(N02),Open,711 BULLITT ST,,HOLDENVILLE,OK,74848,405-683-1571,L,5/8/2017,8/4/2017
35.088735,-96.375816,Housing Authority(N03),Open,301 CRESTVIEW DR,,HOLDENVILLE,OK,74848,405-379-3387,L,5/8/2017,8/4/2017
35.08592,-96.39638,Stroup Park(N04),Open,600 N BROADWAY,,HOLDENVILLE,OK,74848,405-220-3638,L,5/8/2017,8/4/2017
35.07755,-96.42574,Lou Drive Indian Housing(N05),Open,118 LOU DR,,HOLDENVILLE,OK,74848,405-379-3387,L,5/8/2017,8/4/2017
35.090559,-96.404048,Creek Nation Community(N08),Open,224 E POPLAR,,HOLDENVILLE,OK,74848,405-379-3387,L,5/8/2017,8/4/2017
35.099349,-96.40602,Neal Clark Indian Housing(N09),Open,101 NEAL - CLARK DR,,HOLDENVILLE,OK,74848,405-379-3387,L,5/8/2017,8/4/2017
35.0728414,-96.4027497,Oakridge (N10),Open,102 RIVEROAKS,,HOLDENVILLE,OK,74848,405-683-1571,L,5/8/2017,8/4/2017
35.0844111,-96.4258575,Holdenville Ridge Apartments(N12),Open,101 SPAULDING ROAD,,HOLDENVILLE,OK,74848,405-379-3387,L,5/8/2017,8/4/2017
35.078472,-96.397362,Church of God(N13),Open,624 E. MAIN ST.,,HOLDENVILLE,OK,74848,405-379-3387,L,5/8/2017,8/4/2017
35.082991,-96.401347,Summer Arts Institute(N15),Closed Enrolled,118 N BROADWAY,,HOLDENVILLE,OK,74848,405-379-3387,L,6/5/2017,6/22/2017
35.083392,-96.397429,Grace M.Pickens Public Library(N16),Open,209 E 9TH ST,,HOLDENVILLE,OK,74848,405-379-3387,L,5/8/2017,8/4/2017
35.08411224,-96.39931592,First Baptist Church(N17),Closed Enrolled,310 N BROADWAY,,HOLDENVILLE,OK,74848,405-379-3387,L,7/17/2017,7/21/2017
35.0867347,-96.3930814,Football Camp(N18),Closed Enrolled,1000 N GULF ( BUTCH RAWLS WEIGHT ROOM),,HOLDENVILLE,OK,74848,405-379-3387,B L,6/19/2017,7/27/2017
34.897467,-96.099219,STUART ES(105),Open,8837 4TH ST,,STUART,OK,74570,918-546-2627,B L,5/22/2017,6/29/2017
35.2725978,-96.0407193,STUART HS(705),Open,111,,STUART,OK,73034,918-951-9441,B L,5/22/2017,5/31/2017
34.649869,-99.325068,ALTUS INTERMEDIATE SCHOOL(145),Closed Enrolled,1221 N. HOWSE ST,,ALTUS,OK,73251,580-481-2676,B,5/24/2017,6/22/2017
34.371153,-96.4244,WAPANUCKA ES(105),Closed Enrolled,502 S CHOCTAW,,WAPANUCKA,OK,73461,580-937-4288,B L,5/22/2017,6/29/2017
36.718533,-97.089187,LIBERTY ES(120),Open,505 W. LIBERTY,,PONCA CITY,OK,74601,580-718-3936,B L,6/1/2017,6/30/2017
36.734582,-97.083412,UNION ES(130),Open,2617 N. UNION,,PONCA CITY,OK,74601,580-718-3936,B,6/5/2017,6/29/2017
36.705446,-97.10101,PONCA CITY WEST MS(505),Open,1401 W. GRAND AVENUE,,PONCA CITY,OK,74601,580-718-3936,L,6/1/2017,6/30/2017
36.6816246,-97.3067087,TONKAWA HS(715),Open,500 NORTH EAST AVENUE,,TONKAWA,OK,74653,580-628-3597,B L,6/1/2017,7/31/2017
36.716113,-97.079024,First Lutheran School(N01),Open,1104 N. 4TH,,PONCA CITY,OK,74601,580-762-9950,L,6/1/2017,8/11/2017
36.60423559,-97.08280564,Ponca Tribe of Oklahoma(N01),Open,230 WHITE EAGLE DR.,,PONCA CITY,OK,74601,580-762-3096,L,6/1/2017,7/28/2017
36.10955929,-97.89006,HENNESSEY LOWER ES(105),Open,130 MITCHELL ROAD,,HENNESSEY,OK,73742,405-853-4731,,6/5/2017,6/29/2017
36.110824,-97.891324,HENNESSEY HS(705),Open,707 E. OKLAHOMA,,HENNESSEY,OK,73742,405-853-4731,B L,6/5/2017,6/29/2017
34.65675,-98.9544,SNYDER ES(105),Open,901 C. STREET,,SNYDER,OK,73566,580-569-4214,L,6/1/2017,6/30/2017
34.92561,-95.32409,WILBURTON ES(105),Open,1201 WEST BLAIR AVENUE,,WILBURTON,OK,74578,918-465-3880,B L,5/22/2017,6/29/2017
36.6816203,-97.3067087,RED OAK ES(105),Open,"404 N MAIN, RED OAK, OK",,RED OAK,OK,74563,918-754-2426,B L,5/15/2017,6/22/2017
35.241158,-94.626467,SPIRO ES(110),Open,600 WEST BROADWAY,,SPIRO,OK,74959,918-635-0580,B L,5/22/2017,6/23/2017
34.8861004,-94.5999306,HEAVENER ES(105),Open,EAST 4TH AND G STREET,,HEAVENER,OK,74937,918-839-0898,B L,5/22/2017,6/29/2017
35.2598,-94.46584,POCOLA ES(105),Open,1000 PRYOR AVE,,POCOLA,OK,74902,918-436-2561,B L,5/22/2017,6/23/2017
35.1776884,-94.6755576,PANAMA ES(115),Open,1101 KENTUCKY AVE,,PANAMA,OK,74951,918-963-2785,B L,5/22/2017,6/29/2017
35.079941,-94.636559,POTEAU PRIMARY ES(120),Open,407 HUGHES DRIVE,,POTEAU,OK,74953,918-647-7799,B L,5/30/2017,6/30/2017
35.05154837,-94.61743918,PANSY KIDD MS(505),Open,607 PARKER STREET,,POTEAU,OK,74953,918-647-7700,B L,5/30/2017,6/30/2017
34.969429,-94.724468,WISTER ES(105),Open,201 LOGAN STREET,,WISTER,OK,74966,918-655-7481,B L,5/22/2017,6/29/2017
34.9533835,-94.6358981,HOWE ES(105),Open,21444 E N RAILROAD,,HOWE,OK,74940,918-658-3666,B L,5/22/2017,6/29/2017
35.041847,-94.634658,Carl Albert State College Upward Bound(N01),Residential Camp,1507 S. MCKENNA,,POTEAU,OK,74953,918-647-1334,B L S,6/5/2017,7/7/2017
35.89114214,-96.87507431,AGRA ES(105),Open,121 NORTH MAIN STREET,,AGRA,OK,74824,918-375-2268,B L,5/15/2017,6/8/2017
35.892661,-97.418899,GUTHRIE UPPER ES(125),Open,702 CROOKS DRIVE,,GUTHRIE,OK,73044,405-282-8900,B L,6/5/2017,6/29/2017
35.953099,-97.589936,CRESCENT ES(105),Open,106 N MAGNOLIA,,CRESCENT,OK,73028,405-969-3738,B L,5/22/2017,6/9/2017
34.08896,-96.77894,MADILL ES(105),Open,701 W TISHOMINGO,,MADILL,OK,73446,580-795-3303,B L,6/5/2017,6/16/2017
36.301045,-95.14859,SALINA ES(105),Open,907 N SALTWELL ST,,SALINA,OK,74365,918-434-2762,B L,5/30/2017,6/16/2017
36.1083839,-95.3679188,MAZIE ES(110),Open,COAL ST.,,CHOUTEAU,OK,74337,918-476-8335,L,5/30/2017,6/22/2017
36.192622,-95.34513,CHOUTEAU-MAZIE MS(505),Open,521 N. MCCRACKEN,,CHOUTEAU,OK,74337,918-476-8335,B L,5/30/2017,6/22/2017
36.313691,-95.308618,Roosevelt Unit(N02),Open,402 NORTH ORPHAN STREET,,PRYOR,OK,74361,918-824-5023,L,5/22/2017,8/4/2017
36.205052,-95.154713,Locust Grove Unit(N03),Open,"268 E JOE KOELSCH ST, BLDG 5",,LOCUST GROVE,OK,74352,918-479-3850,L,5/22/2017,8/4/2017
36.296843,-95.299729,RG Unit(N04),Open,1111 SE 9TH,,PRYOR,OK,74361,918-825-9843,L,5/22/2017,8/4/2017
35.048921,-97.371902,PURCELL ES(105),Open,2907 BLUE STEM CT,,PURCELL,OK,73080,405-527-2146,B L,6/5/2017,7/28/2017
33.8955584,-94.8382687,FOREST GROVE PUBLIC SCHOOL(105),Open,1941 FOREST GROVE ROAD,,GARVIN,OK,74736,580-286-3961,B L,6/5/2017,7/27/2017
33.893554,-94.821167,CENTRAL ES(110),Open,206 SE AVE F,,IDABE,OK,74745,580-286-5346,B L,5/15/2017,6/29/2017
