Site Name,Site Status,Site Address1,Site Address2,Site City,Site State,Site Zip,Site Phone,"Meal Types Served:
","Start Date
(MM/DD/YY)","End Date
(MM/DD/YY)"
Ft. Sill Spray Pad(N33),Open,FT. SILL BLVD AND KING RD,,FORT SILL,OK,73503,580-442-4697,L,6/15/2017,7/21/2017
Ft. Sill Outdoor Pool(N34),Open,501 QUINETTE RD.,,FORT SILL,OK,73503,580-442-6745,L,6/15/2017,7/21/2017
Ft. Sill Youth Center(N35),Open,1010 FT. SILL BLVE.,,FORT SILL,OK,73503,580-442-6745,L,6/15/2017,7/28/2017
FLETCHER ES(105),Open,202 WEST COLE AVENUE,,FLETCHER,OK,73541,580-549-3019,L,6/5/2017,6/29/2017
Lawton Salvation Army(N01),Closed Enrolled,1315 SW F AVENUE,,LAWTON,OK,73501,580-357-7541,B L,5/30/2017,7/31/2017
SOTE Outreach(N01),Open,2209 NW 25 STREET,,LAWTON,OK,73505,580-248-3170,B L,5/22/2017,8/4/2017
Cameron University(N01),Residential Camp,2800 W. GORE,,LAWTON,OK,73505,580-581-5581,B L S,5/22/2017,6/23/2017
TEMPLE HS(715),Open,206 SCHOOL ROAD,,TEMPLE,OK,73568,580-342-6839,L,5/30/2017,6/30/2017
ALLEN-BOWDEN PUBLIC SCHOOL(105),Open,7049 FRANKOMA ROAD,,TULSA,OK,74131,918-227-1806,B L,5/15/2017,6/8/2017
EDISON ES(110),Open,111 W. 9TH,,BRISTOW,OK,74010,918-367-3524,B L,5/22/2017,8/4/2017
Bristow Park(N01),Open,700 W. 5TH,,BRISTOW,OK,74010,918-367-3524,B L,6/12/2017,6/30/2017
Cape Drive(N02),Open,1110 S. CHESTNUT,,BRISTOW,OK,74010,918-367-3524,B L,5/22/2017,8/4/2017
Bristow Village(N3),Open,703 S. MUTTELOKE DRIVE,,BRISTOW,OK,74010,918-367-3524,B L,5/22/2017,8/4/2017
HOLMES PARK ES(165),Open,1231 E. DEWEY,,SAPULPA,OK,74066,918-227-6800,B L,5/22/2017,7/28/2017
SAPULPA HS(705),Open,3 S. MISSION,,SAPULPA,OK,74066,918-224-6560,B L,6/5/2017,6/30/2017
SOUTHWEST ES(115),Open,1903 OPAL STREET,,CLINTON,OK,73601,580-323-1800,B L,6/5/2017,7/28/2017
Southwestern Oklahoma State University(N01),Residential Camp,100 CAMPUS DRIVE,,WEATHERFORD,OK,73096,580-774-7129,B L S,6/5/2017,7/13/2017
LEACH PUBLIC SCHOOL(105),Open,55979 S 530 RD,,ROSE,OK,74364,918-868-2277,L,5/22/2017,6/16/2017
KENWOOD PUBLIC SCHOOL(105),Open,48625 S 502 RD,,SALINA,OK,74365,918-434-6498,L,5/30/2017,7/21/2017
JAY UPPER ES(305),Open,10550 CR 433,,JAY,OK,74346,918-253-4413,B L,5/8/2017,7/28/2017
COLCORD ES(105),Open,400 S. SPENCER,,COLCORD,OK,74338,918-326-4006,B L,5/30/2017,7/28/2017
COLCORD HS(715),Open,158 EAST POTTER STREET,,COLCORD,OK,74338,918-326-4006,B L,5/30/2017,7/28/2017
SHATTUCK HS(705),Open,602 SOUTH HICKORY,,SHATTUCK,OK,73858,580-938-2586,B L,5/30/2017,6/29/2017
GARFIELD ES(130),Open,400 N. 7TH ST,,ENID,OK,73701,580-366-7790,B L,6/5/2017,6/30/2017
MONROE ES(165),Open,400 W. COTTONWOOD,,ENID,OK,73701,580-366-7500,B L,6/5/2017,6/30/2017
ENID HS(705),Open,611 W. WABASH,,ENID,OK,73701,580-366-8390,B L,6/5/2017,6/30/2017
First Church of God in Christ(N01),Open,477 EAST YORK STREET,,ENID,OK,73701,405-819-1479,L,6/5/2017,8/11/2017
Forgotten Ministries(N2),Open,1714 S. 4TH STREET,,ENID,OK,73701,580-548-3182,L,7/14/2017,7/28/2017
PAOLI ES(105),Open,107 DULIN DRIVE,,PAOLI,OK,73074,405-484-7336,B L,6/5/2017,7/28/2017
PAOLI HS(705),Open,413 W. STEWART,,PAOLI,OK,73074,405-484-7336,B L,6/5/2017,7/28/2017
MINCO ES(105),Open,311 SW 6TH,,MINCO,OK,73059,405-352-4377,L,5/30/2017,7/28/2017
ALEX ES(105),Open,209 S 2ND STREET,,ALEX,OK,73002,405-785-2605,B L,5/22/2017,7/28/2017
Mangum First United Methodist Church(N01),Open,301 W. JEFFERSON,,MANGUM,OK,73554,580-782-2371,B L,6/5/2017,7/27/2017
KINTA ES(105),Open,205 NORTH MAIN,,KINTA,OK,74552,918-768-3338,B L,5/22/2017,6/30/2017
KINTA HS(705),Open,205 W. MAIN,,KINTA,OK,74552,918-768-3338,B L,5/22/2017,6/30/2017
STIGLER ES(105),Open,302 NE 5TH STREET,,STIGLER,OK,74462,918-967-8271,B L,5/23/2017,6/29/2017
ETHEL REED ES(120),Open,615 S BROADWAY,,HOLDENVILLE,OK,74848,405-379-3387,B L,5/8/2017,6/5/2017
Big 5 Headstart(N01),Closed Enrolled,500 E MAIN ST,,HOLDENVILLE,OK,74848,405-379-3387,B L,5/8/2017,6/29/2017
Bullitt & 11th St(N02),Open,711 BULLITT ST,,HOLDENVILLE,OK,74848,405-683-1571,L,5/8/2017,8/4/2017
Housing Authority(N03),Open,301 CRESTVIEW DR,,HOLDENVILLE,OK,74848,405-379-3387,L,5/8/2017,8/4/2017
Stroup Park(N04),Open,600 N BROADWAY,,HOLDENVILLE,OK,74848,405-220-3638,L,5/8/2017,8/4/2017
Lou Drive Indian Housing(N05),Open,118 LOU DR,,HOLDENVILLE,OK,74848,405-379-3387,L,5/8/2017,8/4/2017
Creek Nation Community(N08),Open,224 E POPLAR,,HOLDENVILLE,OK,74848,405-379-3387,L,5/8/2017,8/4/2017
Neal Clark Indian Housing(N09),Open,101 NEAL - CLARK DR,,HOLDENVILLE,OK,74848,405-379-3387,L,5/8/2017,8/4/2017
Oakridge (N10),Open,102 RIVEROAKS,,HOLDENVILLE,OK,74848,405-683-1571,L,5/8/2017,8/4/2017
Holdenville Ridge Apartments(N12),Open,101 SPAULDING ROAD,,HOLDENVILLE,OK,74848,405-379-3387,L,5/8/2017,8/4/2017
Church of God(N13),Open,624 E. MAIN ST.,,HOLDENVILLE,OK,74848,405-379-3387,L,5/8/2017,8/4/2017
Summer Arts Institute(N15),Closed Enrolled,118 N BROADWAY,,HOLDENVILLE,OK,74848,405-379-3387,L,6/5/2017,6/22/2017
Grace M.Pickens Public Library(N16),Open,209 E 9TH ST,,HOLDENVILLE,OK,74848,405-379-3387,L,5/8/2017,8/4/2017
First Baptist Church(N17),Closed Enrolled,310 N BROADWAY,,HOLDENVILLE,OK,74848,405-379-3387,L,7/17/2017,7/21/2017
Football Camp(N18),Closed Enrolled,1000 N GULF ( BUTCH RAWLS WEIGHT ROOM),,HOLDENVILLE,OK,74848,405-379-3387,B L,6/19/2017,7/27/2017
STUART ES(105),Open,8837 4TH ST,,STUART,OK,74570,918-546-2627,B L,5/22/2017,6/29/2017
STUART HS(705),Open,111,,STUART,OK,73034,918-951-9441,B L,5/22/2017,5/31/2017
ALTUS INTERMEDIATE SCHOOL(145),Closed Enrolled,1221 N. HOWSE ST,,ALTUS,OK,73251,580-481-2676,B,5/24/2017,6/22/2017
WAPANUCKA ES(105),Closed Enrolled,502 S CHOCTAW,,WAPANUCKA,OK,73461,580-937-4288,B L,5/22/2017,6/29/2017
LIBERTY ES(120),Open,505 W. LIBERTY,,PONCA CITY,OK,74601,580-718-3936,B L,6/1/2017,6/30/2017
UNION ES(130),Open,2617 N. UNION,,PONCA CITY,OK,74601,580-718-3936,B,6/5/2017,6/29/2017
PONCA CITY WEST MS(505),Open,1401 W. GRAND AVENUE,,PONCA CITY,OK,74601,580-718-3936,L,6/1/2017,6/30/2017
TONKAWA HS(715),Open,500 NORTH EAST AVENUE,,TONKAWA,OK,74653,580-628-3597,B L,6/1/2017,7/31/2017
First Lutheran School(N01),Open,1104 N. 4TH,,PONCA CITY,OK,74601,580-762-9950,L,6/1/2017,8/11/2017
Ponca Tribe of Oklahoma(N01),Open,230 WHITE EAGLE DR.,,PONCA CITY,OK,74601,580-762-3096,L,6/1/2017,7/28/2017
HENNESSEY LOWER ES(105),Open,130 MITCHELL ROAD,,HENNESSEY,OK,73742,405-853-4731,,6/5/2017,6/29/2017
HENNESSEY HS(705),Open,707 E. OKLAHOMA,,HENNESSEY,OK,73742,405-853-4731,B L,6/5/2017,6/29/2017
SNYDER ES(105),Open,901 C. STREET,,SNYDER,OK,73566,580-569-4214,L,6/1/2017,6/30/2017
WILBURTON ES(105),Open,1201 WEST BLAIR AVENUE,,WILBURTON,OK,74578,918-465-3880,B L,5/22/2017,6/29/2017
RED OAK ES(105),Open,"404 N MAIN, RED OAK, OK",,RED OAK,OK,74563,918-754-2426,B L,5/15/2017,6/22/2017
SPIRO ES(110),Open,600 WEST BROADWAY,,SPIRO,OK,74959,918-635-0580,B L,5/22/2017,6/23/2017
HEAVENER ES(105),Open,EAST 4TH AND G STREET,,HEAVENER,OK,74937,918-839-0898,B L,5/22/2017,6/29/2017
POCOLA ES(105),Open,1000 PRYOR AVE,,POCOLA,OK,74902,918-436-2561,B L,5/22/2017,6/23/2017
PANAMA ES(115),Open,1101 KENTUCKY AVE,,PANAMA,OK,74951,918-963-2785,B L,5/22/2017,6/29/2017
POTEAU PRIMARY ES(120),Open,407 HUGHES DRIVE,,POTEAU,OK,74953,918-647-7799,B L,5/30/2017,6/30/2017
PANSY KIDD MS(505),Open,607 PARKER STREET,,POTEAU,OK,74953,918-647-7700,B L,5/30/2017,6/30/2017
WISTER ES(105),Open,201 LOGAN STREET,,WISTER,OK,74966,918-655-7481,B L,5/22/2017,6/29/2017
HOWE ES(105),Open,21444 E N RAILROAD,,HOWE,OK,74940,918-658-3666,B L,5/22/2017,6/29/2017
Carl Albert State College Upward Bound(N01),Residential Camp,1507 S. MCKENNA,,POTEAU,OK,74953,918-647-1334,B L S,6/5/2017,7/7/2017
AGRA ES(105),Open,121 NORTH MAIN STREET,,AGRA,OK,74824,918-375-2268,B L,5/15/2017,6/8/2017
GUTHRIE UPPER ES(125),Open,702 CROOKS DRIVE,,GUTHRIE,OK,73044,405-282-8900,B L,6/5/2017,6/29/2017
CRESCENT ES(105),Open,106 N MAGNOLIA,,CRESCENT,OK,73028,405-969-3738,B L,5/22/2017,6/9/2017
MADILL ES(105),Open,701 W TISHOMINGO,,MADILL,OK,73446,580-795-3303,B L,6/5/2017,6/16/2017
SALINA ES(105),Open,907 N SALTWELL ST,,SALINA,OK,74365,918-434-2762,B L,5/30/2017,6/16/2017
MAZIE ES(110),Open,COAL ST.,,CHOUTEAU,OK,74337,918-476-8335,L,5/30/2017,6/22/2017
CHOUTEAU-MAZIE MS(505),Open,521 N. MCCRACKEN,,CHOUTEAU,OK,74337,918-476-8335,B L,5/30/2017,6/22/2017
Roosevelt Unit(N02),Open,402 NORTH ORPHAN STREET,,PRYOR,OK,74361,918-824-5023,L,5/22/2017,8/4/2017
Locust Grove Unit(N03),Open,"268 E JOE KOELSCH ST, BLDG 5",,LOCUST GROVE,OK,74352,918-479-3850,L,5/22/2017,8/4/2017
RG Unit(N04),Open,1111 SE 9TH,,PRYOR,OK,74361,918-825-9843,L,5/22/2017,8/4/2017
PURCELL ES(105),Open,2907 BLUE STEM CT,,PURCELL,OK,73080,405-527-2146,B L,6/5/2017,7/28/2017
FOREST GROVE PUBLIC SCHOOL(105),Open,1941 FOREST GROVE ROAD,,GARVIN,OK,74736,580-286-3961,B L,6/5/2017,7/27/2017
CENTRAL ES(110),Open,206 SE AVE F,,IDABE,OK,74745,580-286-5346,B L,5/15/2017,6/29/2017
IDABEL HS(710),Open,901 LINCOLN RD,,IDABEL,OK,74745,580-286-8274,B L,5/15/2017,6/29/2017
Westside Park(N2),Open,901 SW VAN BUREN,,IDABEL,OK,74745,580-208-8276,L,6/1/2017,6/29/2017
Booker T Washingto(N3),Open,1000 W MAIN,,IDABEL,OK,74745,580-286-8274,L,6/1/2017,6/29/2017
HAWORTH ES(105),Open,300 NORTH MAPLE,,HAWORTH,OK,74740,(580)245-1460,B L,5/22/2017,6/29/2017
VALLIANT ES(110),Open,400 EAST MOSLEY ST,,VALLIANT,OK,74764,580-933-7140,B L,5/22/2017,6/29/2017
WRIGHT CITY ES(105),Open,8TH AND SCHOOL STREET,,WRIGHT CITY,OK,74766,580-981-7151,B L,5/15/2017,6/30/2017
BATTIEST ES(105),Open,5635  BATTIEST PICKENS RD,,BROKEN BOW,OK,74728,580-241-5499,B L,5/22/2017,6/29/2017
CHECOTAH HS(705),Open,491 PAUL CARR DRIVE,,CHECOTAH,OK,74426,918-473-8013,B L,5/16/2017,6/30/2017
CHEROKEE ES(105),Open,2400 ESTELLE,,MUSKOGEE,OK,74401,918-684-3765,L,6/5/2017,6/7/2017
GRANT-FOREMAN ES(125),Open,800 BACONE,,MUSKOGEE,OK,74403,918-684-3864,L,6/5/2017,6/28/2017
IRVING ES(140),Open,1100 NORTH J STREET,,MUSKOGEE,OK,74403,918-684-3840,B L,6/5/2017,6/28/2017
ALICE ROBERTSON JHS(505),Open,402 N S ST,,MUSKOGEE,OK,74403,918-684-3775,B L,6/5/2017,7/20/2017
MUSKOGEE HS(705),Open,3200 E SHAWNEE,,MUSKOGEE,OK,74403,918-684-3750,L,6/5/2017,7/20/2017
CAMP BENNETT(N03),Open,40TH & PARK AVENUE,,MUSKOGEE,OK,74401,(918)684-3700,L,6/5/2017,7/6/2017
SALVATION ARMY BOYS & GIRLS CLUB(N10),Open,700 INDEPENDENCE,,MUSKOGEE,OK,74403,918-682-3384,L,6/5/2017,7/20/2017
PROJECT TRANSFORMATION(N11),Open,2130 W BROADWAY,,MUSKOGEE,OK,74401,(918)687-7571,L,6/5/2017,7/20/2017
Spaulding Park(N16),Open,EAST OKMULGEE & EASTSIDE BOULEVARD,,MUSKOGEE,OK,74403,918-684-3765,L,6/5/2017,7/20/2017
Farmers Market(N17),Open,425 BOSTON,,MUSKOGEE,OK,74401,918-684-3765,L,6/7/2017,7/19/2017
Robison Park(N19),Open,GULICK & AUGUSTA STREETS,,MUSKOGEE,OK,74402,000-000-0000,L,6/5/2017,7/20/2017
GOSPEL RESCUE MISSION(N23),Open,326 S 2ND AVE,,MUSKOGEE,OK,74401,918-616-8331,L,6/5/2017,6/28/2017
HONOR HEIGHTS(N24),Open,1400 HONOR HEIGHTS DR,,MUSKOGEE,OK,74401,000-000-0000,L,6/5/2017,7/20/2017
ST. MARK BAPTIST CHURCH(N26),Open,1020 S 2ND STREET,,MUSKOGEE,OK,74401,918-348-4452,L,6/5/2017,7/20/2017
WARNER ES(105),Open,1012 NORTH 5TH,,WARNER,OK,74469,918-463-5171,B L,5/22/2017,6/16/2017
CHRIST FOR THE WORLD(N01),Open,120 N 24TH STREET,,MUSKOGEE,OK,74401,918-684-9963,L,6/5/2017,8/4/2017
MUSKOGEE TEEN CENTER(N03),Open,322 CALLAHAN ST.,,MUSKOGEE,OK,74403,918-684-6345,S,6/5/2017,8/4/2017
MUSKOGEE FIRST ASSEBMLY(N05),Open,3100 GULICK,,MUSKOGEE,OK,74403,918-682-9000,B L,6/5/2017,7/28/2017
WHISPERING PINES APTS(N22),Open,2061 CARROLL STREET,,MUSKOGEE,OK,74401,918-686-6613,B L,6/5/2017,8/4/2017
Port City Acres(N24),Open,2103 N 36TH ST,,MUSKOGEE,OK,74401,918-682-3672,B L,6/5/2017,8/4/2017
Green Country Village(N25),Open,1518 S 5TH ST,,MUSKOGEE,OK,74401,918-687-5631,B L,6/5/2017,8/4/2017
Martin Luther King Jr. Community Center(N01),Open,300 MARTIN LUTHER KING JR. STREET,,MUSKOGEE,OK,74401,918-684-6314,B L,5/30/2017,7/28/2017
